PMID	chemical	trigger	target
32165129	Valproate	impair	mitochondrial fatty acid metabolism
32165129	Valproate	inhibit	β-ketothiolase
32165129	Valproate	increase	the mitochondrial DNA copy number per HepaRG cell,
32165129	Valproate	decrease	the hepatocellular mRNA and protein expression of the fatty acid binding protein 1 (FABP1) and of the microsomal triglyceride transfer protein (MTTP)
32165129	Valproate	increase	the hepatocellular concentration of free fatty acids
32165129	valproate	decrease	protein expression and excretion of ApoB100 in HepaRG cells
32165129	valproate	reflect	impaired formation and excretion of very low-density lipoprotein (VLDL)
32165129	valproate	increase	the hepatocellular triglyceride content
32165129	Valproate	cause	cell death
32165129	Valproate	increase	hepatocellular concentration of free fatty acids
32231762	Mitochondrial	examine	High AA
32231762	DHA	decrease	mitochondrial activity ( High AA:
32231762	DHA	induce	triglyceride accumulation
32231762	DHA	induce	triglyceride accumulation
32231762	DHA	increase	oxidative stress
32231762	DHA	increase	oxidative stress
32231762	DHA	disrupt	mitochondrial functions
32231762	DHA	disrupt	mitochondrial functions
32231762	steroidal transcription factors	mediate	these effects
32324591	SCD1	regulate	lipophagy in hepatic steatosis
32324591	hepatic steatosis	investigate	the molecular mechanisms through which SCD1 regulates lipophagy in hepatic steatosis
32324591	hepatic steatosis	induce	mouse primary hepatocytes with sodium palmitate and feeding C57BL/6 mice with HFD
32324591	sodium palmitate-treated hepatocytes	increase	SCD1 expression, AMPK inactivation and defective lipophagy
32324591	SCD1	reduce	lipid deposition
32324591	hepatocytes	reduce	lipid deposition
32324591	SCD1	regulate	lipophagy
32324591	SCD1	affect	lipid metabolism
32324591	CAY10566(an	decrease	hepatic steatosis and hepatic lipid droplet accumulation, as well as enhanced AMPK activity and lipophagy
32324591	SCD1	ameliorate	hepatic steatosis
32324591	SCD1	induce	AMPK-mediated lipophagy
32410680	nicotinamide adenine dinucleotide	feed	a control diet, or an intervention diet supplemented with 0.9% (w/w) tetradecylthiopropionic acid for 14 days
32410680	NAD 12 C57BL/6	feed	a control diet, or an intervention diet supplemented with 0.9% (w/w) tetradecylthiopropionic acid for 14 days
32410680	nicotinamide adenine	feed	a control diet, or an intervention diet supplemented with 0.9% (w/w) tetradecylthiopropionic acid for 14 days
32410680	NAD	feed	a control diet, or an intervention diet supplemented with 0.9% (w/w) tetradecylthiopropionic acid for 14 days
32410680	tetradecylthiopropionic acid	induce	fatty liver accompanied by decreased mitochondrial fatty acid oxidation
32410680	NAD Fatty liver	decrease	the levels of kynurenine metabolites
32410680	tetradecylthiopropionic acid	decrease	the levels of kynurenine metabolites
32410680	NAD	decrease	the levels of kynurenine metabolites
32410680	NAD Fatty liver	increase	the plasma levels of NAD
32410680	tetradecylthiopropionic acid	increase	the plasma levels of NAD
32410680	NAD	increase	the plasma levels of NAD
32493774	rapeseed	cause	hepatic steatosis in animals
32493774	erucic acid	cause	hepatic steatosis in animals
32493774	Mitochondrial fatty acid	play	a central role
32493774	fatty acid	play	a central role
32493774	erucic acid	decrease	mitochondrial fatty acid oxidation
32493774	peroxisomal	stimulate	malonyl-CoA formation in the liver
32493774	erucic acid	stimulate	malonyl-CoA formation in the liver
32493774	peroxisomal	suppress	mitochondrial fatty acid oxidation
32493774	erucic acid	suppress	mitochondrial fatty acid oxidation
32585865	DZA	increase	hepatocellular triglyceride accumulation, which was also evident by morphological visualization of larger-sized LDs
32585865	triglycerides	accompany	increases in mRNA and protein levels of several LD-associated proteins known to regulate LD number and size
32585865	LDs	accompany	increases in mRNA and protein levels of several LD-associated proteins known to regulate LD number and size
32585865	DZA	cause	a decline in the levels of lipases that prevent fat accumulation as well as
32585865	DZA	prevent	fat accumulation as well as
32585865	DZA	increase	the expression of factors involved in lipogenesis and fatty acid mobilization
32585865	intracellular SAH	promote	fat accumulation in hepatocytes, which is similar to that seen after alcohol exposure
32593710	Bisphenol	impair	glucose and lipid metabolism
32593710	endocrine	modulate	these processes
32593710	endocrine	increase	the risk for metabolic diseases
32593710	BPA	cause	mild steatosis in OVX CBPA females
32593710	BPA	increase	the hepatic total lipids and mRNAs for Srebf1, Scd1, Hspa5, Hyou1 and Atf6
32593710	BPA	aggravate	hepatic steatosis in OVX mice
32593710	BPA	cause	NAFLD progression, which was partly mediated by chronic ER stress and the TGF-β1 pathway
32623605	VPA	cause	liver toxicity and steatosis through mitochondrial dysfunction
32623605	VPA	affect	oxygen consumption rates (OCRs)
32623605	VPA	cause	mitochondrial dysfunction
32623605	TFs	rescue	VPA-induced mitochondrial dysfunction
32623605	PHHs	identify	24 genuine C/EBPα target genes that are regulated in response to prolonged VPA exposure in PHHs
32687983	MC-LR	impact	liver health
33007364	VPA	cause	steatosis
33022571	Phe	have	severe effects
33022571	Phenanthrene	have	severe effects
33022571	polycyclic aromatic hydrocarbons	have	severe effects
33022571	chemicals	disturb	intestinal microbiota, which plays a vital role in lipids metabolism
33022571	chemicals	play	a vital role
33022571	Phe	disrupt	the intestinal microbiota
33022571	Phe	induce	significant alteration in relative Bacteroidetes, Firmicutes and Proteobacteria abundance in male mice
33022571	Phe	alter	the composition of gastrointestinal bacteria
33022571	Phe	induce	hepatic lipid metabolism disorder
33105604	insulin receptor	induce	glucose intolerance, hepatic steatosis, and lipoatrophy in mice
33105604	IGF-1 receptor	induce	glucose intolerance, hepatic steatosis, and lipoatrophy in mice
33105604	IGF1R	induce	glucose intolerance, hepatic steatosis, and lipoatrophy in mice
33105604	OSI-906	induce	glucose intolerance, hepatic steatosis, and lipoatrophy in mice
33105604	IR/IGF1R	induce	glucose intolerance, hepatic steatosis, and lipoatrophy in mice
33105604	Linagliptin	improve	OSI-906-induced hepatic steatosis
33105604	Linagliptin	alter	glucose levels
33105604	Linagliptin	alter	free fatty acid levels, gluconeogenic gene expressions in the liver, or visceral fat atrophy
33105604	linagliptin	improve	hepatic steatosis induced by IR and IGF1R inhibition via a previously unknown mechanism that did not involve gluconeogenesis, lipogenesis, or inflammation
33105604	IGF1R	involve	gluconeogenesis, lipogenesis, or inflammation
33105604	linagliptin	suggest	the non-canonical actions of DPP-4 inhibitors in the treatment of hepatic steatosis under insulin-resistant conditions
33184849	conjugated linoleic acid	induce	an enlarged liver, hepatic steatosis
33184849	CLA	induce	an enlarged liver, hepatic steatosis
33184849	GW6471	block	PPARα binding to Acaca and Acads
33184849	PPARα	block	PPARα binding to Acaca and Acads
33184849	GW6471	abolish	the PPARα-mediated local histone modifications of H3K27ac and H3K4me1 in CLA-treated hepatocytes
33184849	PPARα	abolish	the PPARα-mediated local histone modifications of H3K27ac and H3K4me1 in CLA-treated hepatocytes
33302084	glyphosate	raise	potential environmental threats and public health concerns
33302084	GLY	raise	potential environmental threats and public health concerns
33302084	pro-	clarify	their roles
33302084	lipid	clarify	their roles
33302084	samples	clarify	their roles
33302084	Lipid	reduce	lipolysis-related gene expression levels, and resultant hepatic lipid accumulation
33302084	GLY	induce	hepatotoxicity in fish
33449950	O-1	stimulate	adipose triglyceride lipase (ATGL)
33449950	FoxO1	stimulate	adipose triglyceride lipase (ATGL)
33449950	O-1	suppress	its inhibitor G0/G1 switch gene 2 (G0S2) expression in the liver
33449950	FoxO1	suppress	its inhibitor G0/G1 switch gene 2 (G0S2) expression in the liver
33449950	Palmitate	promote	lipid accumulation
33449950	Palmitate	inhibit	lipid decomposition in human HepG2 hepatoma cells
33449950	Palmitate	reduce	FoxO1, ATGL and its activator comparative gene identification-58 (CGI-58) expression
33449950	Palmitate	increase	peroxisome proliferator-activated receptorγ (PPARγ) and its target gene G0S2 expression
33449950	FoxO1	increase	palmitate-inhibited ATGL and CGI-58 expression
33449950	FoxO1	reduce	palmitate-stimulated PPARγ and its target gene G0S2 expression
33449950	FoxO1	inhibit	lipid accumulation
33449950	FoxO1	promote	lipolysis in palmitate-treated hepatocytes
33449950	FoxO1-mediated	protect	hepatocytes
33762794	body	demonstrate	the potential adverse effects of these substances, including its effect on the development of non-alcoholic fatty liver disease, as one of the most prevalent chronic liver diseases
33762794	μmol/L	increase	the triglyceride level
33900847	Uox-KO	develop	hyperuricemia and aberrant lipid-metabolism
34128319	Rosiglitazone	exert	dual effects on liver steatosis
34128319	Rosiglitazone	exacerbate	liver steatosis
34128319	FABP4	alleviate	rosiglitazone-induced liver steatosis
34128319	I-9	alleviate	rosiglitazone-induced liver steatosis
34128319	FABP4 inhibitor I-9	alleviate	rosiglitazone-induced liver steatosis
34128319	I-9	decrease	rosiglitazone-induced increase in serum FABP4 level
34128319	FABP4	ameliorate	rosiglitazone-exacerbated elevated serum FABP4 level
34128319	FABP4	ameliorate	ectopic liver fat accumulation in obese diabetic db/db mice
34128319	I-9	ameliorate	rosiglitazone-exacerbated elevated serum FABP4 level
34128319	I-9	ameliorate	ectopic liver fat accumulation in obese diabetic db/db mice
34128319	FABP4 inhibitor I-9	ameliorate	rosiglitazone-exacerbated elevated serum FABP4 level
34128319	FABP4 inhibitor I-9	ameliorate	ectopic liver fat accumulation in obese diabetic db/db mice
34128319	FABP4	affect	its anti-diabetic efficacy
34128319	I-9	affect	its anti-diabetic efficacy
34128319	FABP4 inhibitor I-9	affect	its anti-diabetic efficacy
34206460	clozapine	affect	weight,
34206460	chromium	feed	a high fat diet (HFD)
34206460	fatty liver	feed	a high fat diet (HFD)
34206460	glucose	feed	a high fat diet (HFD)
34206460	clozapine	gain	more weight
34206460	clozapine	gain	higher daily food efficiency; higher serum or hepatic triglyceride, aspartate aminotransferase, alanine aminotransferase, blood urea nitrogen, and creatinine levels; and higher hepatic lipid regulation marker expression
34206460	clozapine	exhibit	insulin resistance, poorer insulin sensitivity, greater glucose intolerance, and less Akt phosphorylation
34206460	clozapine	reduce	the thickness of retinal cell layers
34246650	Acetaminophen	aggravate	lipid deposition in the liver
34246650	APAP	aggravate	lipid deposition in the liver
34246650	Acetaminophen	cause	liver injury
34246650	APAP	cause	liver injury
34246650	CAV-1 stent-like domain	upregulate	CAV-1 expression
34246650	CSD	upregulate	CAV-1 expression
34246650	caveolin-1	upregulate	CAV-1 expression
34246650	CAV-1	interfere	RNA and
34246650	CAV-1	co-treate	L02 cells
34246650	CAV-1	reduce	lipid accumulation in L02 cells
34246650	CAV-1	activate	Pink-1/Parkin-related mitophagy
34267188	ethanol-fed	develop	severe hepatic steatosis and inflammation
34267188	Torin 1	suppress	mTORC1 activity
34267188	Torin	suppress	mTORC1 activity
34267188	Torin 1	ameliorate	ethanol-induced hepatic steatosis and inflammation in both control and Depdc5-LKO mice
34267188	Torin	ameliorate	ethanol-induced hepatic steatosis and inflammation in both control and Depdc5-LKO mice
34267188	fenofibrate	reverse	ethanol-induced liver steatosis and inflammation in Depdc5-LKO mice
34267188	PPARα	reverse	ethanol-induced liver steatosis and inflammation in Depdc5-LKO mice
34344994	2,3,7,8-Tetrachlorodibenzo-p-dioxin	induce	steatosis
34344994	TCDD	induce	steatosis
34344994	2,3,7,8-Tetrachlorodibenzo-p-dioxin	increase	hepatic uptake of dietary and mobilized peripheral fats
34344994	TCDD	increase	hepatic uptake of dietary and mobilized peripheral fats
34344994	2,3,7,8-Tetrachlorodibenzo-p-dioxin	inhibit	lipoprotein export
34344994	TCDD	inhibit	lipoprotein export
34344994	2,3,7,8-Tetrachlorodibenzo-p-dioxin	repress	β-oxidation
34344994	TCDD	repress	β-oxidation
34344994	TCDD	repress	straight-chain fatty acid oxidation gene expression in mice
34344994	fatty acid	inhibit	the activity of short chain enoyl-CoA hydratase (ECHS1)
34681291	TEB	cause	liver toxicity
34681291	cellular lipid	cause	liver toxicity
34681291	cells	show	lipid accumulation
34681291	HepG2 cells	show	lipid accumulation
34681291	TEB	increase	the nuclear translocation of peroxisome proliferator-activated receptors and the expression of lipid uptake and oxidation-related markers such as cluster of differentiation 36, fatty acid transport protein (FATP) 2, FATP5, and carnitine palmitoyltransferase 1
34681291	20-80	increase	the nuclear translocation of peroxisome proliferator-activated receptors and the expression of lipid uptake and oxidation-related markers such as cluster of differentiation 36, fatty acid transport protein (FATP) 2, FATP5, and carnitine palmitoyltransferase 1
34681291	20-80	induce	the loss of mitochondrial membrane potential and lower levels of microsomal triglyceride transfer protein in the cells
34681291	TEB	induce	lipid accumulation
34681291	TEB	alter	the expression of lipid-metabolizing molecules
34681291	TEB	impair	lipid metabolism
34685712	Cell	define	the causal role
34685712	Cell	underlie	mechanism of FFA-activated mTORC1 signaling in hepatocellular cell injury
34685712	palmitic acid	(pa)-induce	ER stress and suppression of LAMP2 and autophagy flux
34685712	rapamycin	reverse	such deleterious effects
34685712	ATF4	modulate	LAMP2
34685712	rapamycin	attenuate	mTORC1 activation and ER stress,
34685712	rapamycin	restore	LAMP2 protein
34685712	rapamycin	improve	autophagy
34685712	hepatic FFAs	play	a crucial role
34685712	FFAs	play	a crucial role
34685712	FFAs	represent	an important mechanism of FFA-induced hepatocellular injury
34685712	hepatic FFAs	activate	mTORC1 signaling
34685712	FFAs	activate	mTORC1 signaling
34801933	HepG2	enhance	lipid transport to the cell
34801933	dexamethasone	enhance	lipid transport to the cell
34801933	palmitate	enhance	lipid transport to the cell
34801933	Dexamethasone	alter	FA composition resulting in the elevated n-3 polyunsaturated fatty acid (PUFA) activity in DAG and TAG
34801933	palmitate	alter	FA composition resulting in the elevated n-3 polyunsaturated fatty acid (PUFA) activity in DAG and TAG
34801933	lipid	exacerbate	lipotoxicity in HepG2 cells
34801933	FA	exacerbate	lipotoxicity in HepG2 cells
34801933	dexamethasone	exacerbate	lipotoxicity in HepG2 cells
34836271	GEN	inhibit	hepatic triglyceride accretion triggered by estrogen deficiency
34836271	Genistein	inhibit	hepatic triglyceride accretion triggered by estrogen deficiency
34836271	GEN	downregulate	the levels of genes and proteins involved in lipogenesis, such as sterol-regulatory element-binding protein-1c (SREBP-1c), fatty acid synthase (FASN), and stearoyl-coenzyme A desaturase 1 (SCD1)
34836271	GEN	upregulate	the gene and protein levels of the regulation factors responsible for fatty acid β-oxidation, such as carnitine palmitoyltransferase 1α (CPT-1α) and peroxisome proliferator-activated receptor α (PPARα)
34836271	GEN	improve	hepatic lipid metabolism
34836271	GEN	activate	ERβ and further modulation of Akt/mTOR signals
34856412	farnesoid X receptor	regulate	fatty acid β-oxidation (FAO)
34856412	FXR	regulate	fatty acid β-oxidation (FAO)
34856412	farnesoid X receptor	maintain	bile acid, cholesterol and glucose homeostasis,
34856412	FXR	maintain	bile acid, cholesterol and glucose homeostasis,
34856412	fatty acids	use	an integrated metabolomic and transcriptomic analysis in control
34856412	FXR	use	an integrated metabolomic and transcriptomic analysis in control
34897744	fluoxetine	increase	the risk of metabolic diseases such as non-alcoholic fatty liver disease
34897744	Fluoxetine	increase	hepatic lipid accumulation
34897744	fluoxetine	alter	the production of prostaglandins which have also been implicated in the development of non-alcoholic fatty liver disease
34897744	Fluoxetine	increase	mRNA expression of prostaglandin biosynthetic enzymes (Ptgs1, Ptgs2, and Ptgds), PPAR gamma (Pparg), and PPAR gamma downstream targets involved in fatty acid uptake (Cd36, Fatp2, and Fatp5) as well as production of 15-deoxy-Δ
